GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,AUT,Austria,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AMR,Americas,,BHS,Bahamas,, 8 200 [ 7 400–9 000],8200,7400,9000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AFR,Africa,,BEN,Benin,,67 000 [47 000–94 000],67000,47000,94000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,19 000 [13 000–25 000],19000,13000,25000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,CYP,Cyprus,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,PRK,Democratic People's Republic of Korea,,No data,,,,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AMR,Americas,,SLV,El Salvador,,24 000 [22 000–26 000],24000,22000,26000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AFR,Africa,,ERI,Eritrea,,15 000 [10 000–21 000],15000,10000,21000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,IRL,Ireland,, 6 200 [ 5 700–6 700],6200,5700,6700,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,ITA,Italy,,130 000 [120 000–150 000],130000,120000,150000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AFR,Africa,,KEN,Kenya,,1 600 000 [1 400 000–1 800 000],1600000,1400000,1800000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,KGZ,Kyrgyzstan,, 8 500 [ 6 300–11 000],8500,6300,11000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,EUR,Europe,,NLD,Netherlands,,23 000 [20 000–26 000],23000,20000,26000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AMR,Americas,,NIC,Nicaragua,, 8 900 [ 6 800–12 000],8900,6800,12000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,PNG,Papua New Guinea,,46 000 [40 000–51 000],46000,40000,51000,,,
HIV_0000000001,Estimated number of people (all ages) living with HIV,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2921,PUBLISHED,Published,,2016,2016,,AMR,Americas,,PER,Peru,,70 000 [55 000–94 000],70000,55000,94000,,,
