,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths,Malaria - number of reported deaths
Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,32,24,36,40,22,32,46,25,,0,,,,,
Algeria,0,3,0,1,5,1,0,,,,,,,1,2
Angola,5 714,7 300,5 736,6 909,8 114,10 530,9 465,9 812,10 220,13 768,12 459,38 598,14 434,9 473,9 510
Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenia,,,,,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,45,15,11,36,37,47,154,228,508,501,505,574,598,470,484
Belize,0,0,0,0,0,0,0,0,1,0,1,,0,0,0
Benin,1 869,2 288,2 261,1 753,964,1 375,918,1 290,1 226,322,944,560,707,468,
Bhutan,0,0,1,1,2,4,2,2,7,5,7,14,11,14,15
Bolivia (Plurinational State of),1,0,0,0,0,0,0,0,0,0,3,1,4,0,11
Botswana,22,7,3,8,8,6,12,6,40,11,19,18,23,29,
Brazil,36,41,60,70,76,85,68,93,110,123,102,104,95,142,245
Burkina Faso,5 632,6 294,7 963,7 001,9 024,7 982,7 834,6 472,8 083,5 224,4 205,4 860,4 032,4 233,
Burundi,2 974,3 411,2 263,2 233,2 677,1 183,595,167,434,776,689,425,483,417,691
Côte d'Ivoire,2 069,3 261,1 534,1 389,1 023,18 156,1 249,797,,,,,,,
Cabo Verde,2,0,1,1,1,2,2,2,8,2,4,4,2,0,
Cambodia,18,12,45,94,151,279,209,241,396,296,382,492,457,476,608
Cameroon,4 398,4 349,3 209,3 808,4 536,4 943,7 673,1 811,930,836,,,,,
Central African Republic,635,1 026,1 442,858,526,667,456,578,865,668,859,417,,535,439
Chad,1 720,1 881,1 359,1 220,886,221,1 018,617,837,558,13,1 021,98,957,712
China,24,23,14,33,19,10,23,18,37,48,31,52,42,27,31
Colombia,17,10,24,23,42,28,54,68,77,87,126,118,162,168,124
Comoros,0,15,17,19,53,,47,20,56,92,28,,,,
Congo,271,2 870,623,892,,116,143,113,,,,,,,
Costa Rica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,0,,,0,0,0,0,0,,,,,,,
Democratic Republic of the Congo,25 502,30 918,21 601,23 748,23 476,21 168,17 940,14 372,12 970,15 322,13 613,989,2 152,416,3 856
Djibouti,,17,0,0,0,0,,1,29,,,,,,
Dominican Republic,4,5,8,10,15,14,11,17,10,16,16,12,11,17,6
Ecuador,,4,1,2,4,6,5,8,9,22,37,46,64,84,66
Egypt,2,3,,4,2,2,2,0,0,,,,,,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,,66,77,52,30,23,4,,,,,,,,
Eritrea,15,6,30,12,27,23,19,42,47,49,24,79,86,133,
Ethiopia,213,358,1 621,936,1 581,1 121,1 169,991,1 357,1 086,3 327,2 138,1 607,1 681,
Gabon,159,273,134,74,182,197,156,216,238,353,466,692,1 141,1 693,2 016
Gambia,170,262,289,440,151,240,403,424,150,426,153,192,259,275,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
